claim,accident_date,policy
CLM000000001,2016-12-12,POL000000012
CLM000000002,2016-05-06,POL000000023
CLM000000003,2016-03-10,POL000000024
CLM000000004,2015-05-08,POL000000046
CLM000000005,2016-03-11,POL000000056
CLM000000006,2015-10-19,POL000000076
CLM000000007,2016-05-19,POL000000079
CLM000000008,2016-04-05,POL000000093
CLM000000009,2016-06-25,POL000000109
CLM000000010,2016-01-02,POL000000132
CLM000000011,2015-12-16,POL000000133
CLM000000012,2015-05-16,POL000000144
CLM000000013,2016-10-18,POL000000146
CLM000000014,2016-09-28,POL000000149
CLM000000015,2016-09-07,POL000000165
CLM000000016,2015-08-12,POL000000169
CLM000000017,2016-03-14,POL000000173
CLM000000018,2016-01-11,POL000000178
CLM000000019,2016-07-20,POL000000187
CLM000000020,2016-02-14,POL000000199
CLM000000021,2015-11-15,POL000000205
CLM000000022,2016-09-07,POL000000209
CLM000000023,2017-01-05,POL000000212
CLM000000024,2016-11-02,POL000000219
CLM000000025,2016-03-14,POL000000224
CLM000000026,2016-05-02,POL000000236
CLM000000027,2016-08-04,POL000000239
CLM000000028,2016-02-01,POL000000256
CLM000000029,2016-10-06,POL000000266
CLM000000030,2016-04-07,POL000000286
CLM000000031,2016-01-01,POL000000288
CLM000000032,2015-12-02,POL000000337
CLM000000033,2016-08-24,POL000000347
CLM000000034,2016-01-25,POL000000351
CLM000000035,2015-12-20,POL000000352
CLM000000036,2015-12-13,POL000000355
CLM000000037,2016-01-07,POL000000367
CLM000000038,2016-01-28,POL000000371
CLM000000039,2016-03-24,POL000000383
CLM000000040,2015-07-20,POL000000389
CLM000000041,2016-12-31,POL000000397
CLM000000042,2015-12-08,POL000000402
CLM000000043,2016-11-16,POL000000420
CLM000000044,2016-05-11,POL000000453
CLM000000045,2016-02-25,POL000000458
CLM000000046,2015-07-26,POL000000468
CLM000000047,2016-07-20,POL000000517
CLM000000048,2015-12-07,POL000000533
CLM000000049,2016-02-29,POL000000540
CLM000000050,2015-12-18,POL000000544
CLM000000051,2016-03-25,POL000000551
CLM000000052,2016-09-01,POL000000563
CLM000000053,2016-03-22,POL000000611
CLM000000054,2015-08-31,POL000000614
CLM000000055,2016-05-22,POL000000621
CLM000000056,2016-04-06,POL000000626
CLM000000057,2015-11-17,POL000000629
CLM000000058,2015-10-04,POL000000666
CLM000000059,2016-01-04,POL000000689
CLM000000060,2016-09-13,POL000000700
CLM000000061,2016-03-08,POL000000712
CLM000000062,2015-10-31,POL000000714
CLM000000063,2016-02-20,POL000000720
CLM000000064,2016-05-28,POL000000722
CLM000000065,2015-11-19,POL000000740
CLM000000066,2016-05-14,POL000000741
CLM000000067,2016-01-15,POL000000748
CLM000000068,2017-01-22,POL000000750
CLM000000069,2016-05-02,POL000000754
CLM000000070,2015-12-11,POL000000755
CLM000000071,2015-12-29,POL000000758
CLM000000072,2015-10-15,POL000000779
CLM000000073,2015-05-30,POL000000786
CLM000000074,2017-02-13,POL000000789
CLM000000075,2016-06-02,POL000000791
CLM000000076,2016-05-25,POL000000795
CLM000000077,2016-07-09,POL000000801
CLM000000078,2015-08-03,POL000000807
CLM000000079,2016-02-23,POL000000811
CLM000000080,2015-11-18,POL000000814
CLM000000081,2016-02-22,POL000000837
CLM000000082,2016-05-29,POL000000850
CLM000000083,2016-07-08,POL000000851
CLM000000084,2016-08-31,POL000000853
CLM000000085,2016-08-16,POL000000857
CLM000000086,2016-08-11,POL000000858
CLM000000087,2016-06-04,POL000000874
CLM000000088,2016-07-20,POL000000886
CLM000000089,2015-09-04,POL000000893
CLM000000090,2016-03-15,POL000000901
CLM000000091,2015-11-01,POL000000916
CLM000000092,2015-10-10,POL000000923
CLM000000093,2016-07-25,POL000000928
CLM000000094,2015-07-02,POL000000935
CLM000000095,2015-08-13,POL000000955
CLM000000096,2016-05-03,POL000000963
CLM000000097,2015-07-25,POL000000972
CLM000000098,2016-03-15,POL000000973
CLM000000099,2016-05-18,POL000000983
CLM000000100,2016-02-17,POL000000999
CLM000000101,2016-08-20,POL000001006
CLM000000102,2016-12-14,POL000001013
CLM000000103,2016-06-14,POL000001034
CLM000000104,2016-05-29,POL000001050
CLM000000105,2015-09-26,POL000001058
CLM000000106,2016-06-30,POL000001062
CLM000000107,2016-08-23,POL000001064
CLM000000108,2016-09-06,POL000001075
CLM000000109,2016-07-06,POL000001081
CLM000000110,2016-09-25,POL000001082
CLM000000111,2016-03-13,POL000001096
CLM000000112,2016-06-21,POL000001101
CLM000000113,2016-03-26,POL000001113
CLM000000114,2016-07-04,POL000001131
CLM000000115,2016-07-20,POL000001138
CLM000000116,2015-12-02,POL000001175
CLM000000117,2016-07-04,POL000001196
CLM000000118,2016-10-07,POL000001201
CLM000000119,2015-12-01,POL000001210
CLM000000120,2016-03-30,POL000001226
CLM000000121,2016-02-07,POL000001239
CLM000000122,2016-06-07,POL000001243
CLM000000123,2016-08-24,POL000001293
CLM000000124,2015-12-07,POL000001305
CLM000000125,2015-12-25,POL000001308
CLM000000126,2017-01-15,POL000001339
CLM000000127,2016-05-26,POL000001349
CLM000000128,2016-01-15,POL000001353
CLM000000129,2016-04-22,POL000001356
CLM000000130,2017-01-26,POL000001358
CLM000000131,2016-02-01,POL000001361
CLM000000132,2016-03-02,POL000001362
CLM000000133,2015-11-17,POL000001375
CLM000000134,2015-09-05,POL000001376
CLM000000135,2015-06-18,POL000001382
CLM000000136,2015-11-25,POL000001384
CLM000000137,2016-09-30,POL000001403
CLM000000138,2016-07-18,POL000001408
CLM000000139,2015-11-23,POL000001409
CLM000000140,2016-06-14,POL000001410
CLM000000141,2016-01-29,POL000001432
CLM000000142,2015-10-28,POL000001436
CLM000000143,2017-03-02,POL000001451
CLM000000144,2016-05-07,POL000001455
CLM000000145,2016-02-28,POL000001469
CLM000000146,2016-06-09,POL000001472
CLM000000147,2015-09-16,POL000001475
CLM000000148,2016-07-02,POL000001493
CLM000000149,2016-07-11,POL000001498
CLM000000150,2016-05-16,POL000001500
CLM000000151,2016-02-20,POL000001512
CLM000000152,2016-03-31,POL000001513
CLM000000153,2016-01-10,POL000001516
CLM000000154,2015-11-09,POL000001533
CLM000000155,2015-12-15,POL000001542
CLM000000156,2015-11-18,POL000001549
CLM000000157,2016-07-13,POL000001550
CLM000000158,2016-12-16,POL000001551
CLM000000159,2015-12-29,POL000001553
CLM000000160,2016-04-09,POL000001573
CLM000000161,2016-01-25,POL000001587
CLM000000162,2015-07-05,POL000001595
CLM000000163,2016-05-30,POL000001626
CLM000000164,2016-06-12,POL000001633
CLM000000165,2016-01-05,POL000001634
CLM000000166,2015-10-21,POL000001636
CLM000000167,2016-07-06,POL000001641
CLM000000168,2016-09-07,POL000001642
CLM000000169,2016-05-08,POL000001668
CLM000000170,2016-05-25,POL000001674
CLM000000171,2015-07-18,POL000001687
CLM000000172,2015-06-17,POL000001702
CLM000000173,2015-10-28,POL000001740
CLM000000174,2015-10-11,POL000001754
CLM000000175,2016-11-09,POL000001764
CLM000000176,2015-12-04,POL000001775
CLM000000177,2015-12-29,POL000001792
CLM000000178,2016-02-01,POL000001802
CLM000000179,2016-07-28,POL000001804
CLM000000180,2016-01-03,POL000001820
CLM000000181,2016-09-13,POL000001823
CLM000000182,2016-09-30,POL000001827
CLM000000183,2015-06-08,POL000001830
CLM000000184,2016-03-08,POL000001831
CLM000000185,2016-05-15,POL000001851
CLM000000186,2015-08-21,POL000001883
CLM000000187,2016-01-11,POL000001890
CLM000000188,2016-03-11,POL000001927
CLM000000189,2015-06-09,POL000001930
CLM000000190,2016-09-08,POL000001936
CLM000000191,2016-12-15,POL000001964
CLM000000192,2015-08-20,POL000001969
CLM000000193,2016-08-16,POL000001972
CLM000000194,2016-02-20,POL000002051
CLM000000195,2016-10-03,POL000002062
CLM000000196,2015-12-13,POL000002066
CLM000000197,2017-02-03,POL000002074
CLM000000198,2016-03-28,POL000002111
CLM000000199,2016-04-12,POL000002131
CLM000000200,2015-11-08,POL000002136
CLM000000201,2016-05-13,POL000002144
CLM000000202,2016-12-05,POL000002147
CLM000000203,2016-02-03,POL000002152
CLM000000204,2016-03-22,POL000002163
CLM000000205,2016-09-24,POL000002165
CLM000000206,2016-07-08,POL000002168
CLM000000207,2015-07-10,POL000002169
CLM000000208,2017-02-27,POL000002172
CLM000000209,2016-06-05,POL000002183
CLM000000210,2016-06-04,POL000002186
CLM000000211,2015-11-17,POL000002187
CLM000000212,2015-08-12,POL000002190
CLM000000213,2017-02-11,POL000002196
CLM000000214,2015-12-14,POL000002208
CLM000000215,2016-02-05,POL000002213
CLM000000216,2016-09-14,POL000002227
CLM000000217,2016-04-12,POL000002251
CLM000000218,2015-08-28,POL000002294
CLM000000219,2015-10-28,POL000002301
CLM000000220,2016-09-21,POL000002302
CLM000000221,2015-10-25,POL000002307
CLM000000222,2016-02-27,POL000002316
CLM000000223,2016-07-26,POL000002337
CLM000000224,2015-12-14,POL000002347
CLM000000225,2015-11-24,POL000002349
CLM000000226,2016-01-28,POL000002352
CLM000000227,2016-04-06,POL000002381
CLM000000228,2016-09-25,POL000002397
CLM000000229,2016-07-31,POL000002402
CLM000000230,2015-10-17,POL000002408
CLM000000231,2016-01-04,POL000002418
